No,학년,학수번호,"이수
구분","과목
번호",교과목명,"강의
계획서",비고,학점,시간,"수강
학부(과)/전공",개설대학,"개설
학부(과)/전공",강의요시/강의실,"집중이수제
구분",담당교수,"원어
강의","원어
구분","외국인
과목여부","현재
인원","학부
인원","대학원
인원","제한
인원","과목
해설","강의
유형","강의
종류",교과목유형,영역,"패스
과목",합반
1,3,BRIX09574,교직,7001,교육평가,,,2.0,2.0, 교직과,인문사회융합대학,교직과, 화1000-1200(인문사회관 403),, 오방실,,,0,28,28,0,30,,이론,일반,,,,0
2,3,BRIX11529,교직,7002,교육방법및교육공학,,,2.0,2.0, 교직과,인문사회융합대학,교직과, 월1000-1200(인문사회관 414),, 박혜진,,,0,17,14,3,30,,이론,일반,,,,0
3,2,BRIX11540,교직,7004,교육심리,,,2.0,2.0, 교직과,인문사회융합대학,교직과, 월1300-1500(인문사회관 407),, 전종희,,,0,30,30,0,30,,이론,일반,,,,0
4,3,BRIX11546,교직,7005,교육철학및교육사,,,2.0,2.0, 교직과,인문사회융합대학,교직과, 목0900-1100(인문사회관 403),, 김자중,,,0,30,30,0,30,,이론,일반,,,,0
5,2,BRIX11549,교직,7006,교육학개론,,,2.0,2.0, 교직과,인문사회융합대학,교직과, 화1400-1600(인문사회관 403),, 오방실,,,0,13,8,5,30,,이론,일반,,,,0
6,3,BRIX11553,교직,7008,국어교육론,,,3.0,3.0, 교직과,인문사회융합대학,교직과, 화1800-2100(인문사회관 403),, 임병준,,,0,2,2,0,30,,이론,일반,,,,0
7,3,BRIX11584,교직,7011,생물교육론,,,3.0,3.0, 교직과,인문사회융합대학,교직과, 월1800-2100(인문사회관 403),, 최종찬,,,0,1,1,0,30,,이론,일반,,,,0
8,3,BRIX16903,교직,7015,교육과정,,,2.0,2.0, 교직과,인문사회융합대학,교직과, 목1100-1300(인문사회관 403),, 김현주,,,0,9,9,0,30,,이론,일반,,,,0
9,2,BRIX45082,교직,7016,특수교육학개론,,,2.0,2.0, 교직과,인문사회융합대학,교직과, 월1000-1200(인문사회관 403),, 김경화,,,0,30,30,0,30,,이론,일반,,,,0
10,2,BRIX45082,교직,7017,특수교육학개론,,,2.0,2.0, 교직과,인문사회융합대학,교직과, 월1200-1400(인문사회관 403),, 김경화,,,0,29,29,0,30,,이론,일반,,,,0
11,3,BRIX48026,교직,7020,교직실무,,,2.0,2.0, 교직과,인문사회융합대학,교직과, 화1700-1900(인문사회관 407),, 최재승,,,0,15,8,7,30,,이론,일반,,,,0
12,3,BRIX48026,교직,7021,교직실무,,,2.0,2.0, 교직과,인문사회융합대학,교직과, 수1000-1200(국제교육관 511),, 박서현,,,0,4,4,0,30,,이론,일반,,,,0
13,2,BRIX54990,교직,7023,교직독서,,,1.0,1.0, 교직과,인문사회융합대학,교직과, 수1600-1700(국제교육관 510),, 김경화,,,0,14,14,0,30,,이론,일반,,,,0
14,2,BRIX54990,교직,7024,교직독서,,,1.0,1.0, 교직과,인문사회융합대학,교직과, 목1600-1700(인문사회관 403),, 김경화,,,0,4,4,0,30,,이론,일반,,,,0
15,4,BRIX55066,교직,7025,교육봉사활동1,,,1.0,2.0, 교직과,인문사회융합대학,교직과, 목1700-1900(인문사회관 403),, 김경화,,,0,9,8,1,30,,이론+실습,일반,,,,0
16,4,BRIX55066,교직,7026,교육봉사활동1,,,1.0,2.0, 교직과,인문사회융합대학,교직과, 수1700-1900(인문사회관 211),, 김경화,,,0,42,42,0,50,,이론+실습,일반,,,,0
17,4,BRIX55067,교직,7027,교육봉사활동2,,,1.0,2.0, 교직과,인문사회융합대학,교직과, 화1600-1800(인문사회관 403),, 안세근,,,0,9,8,1,30,,이론+실습,일반,,,,0
18,4,BRIX55067,교직,7028,교육봉사활동2,,,1.0,2.0, 교직과,인문사회융합대학,교직과, 월1700-1900(국제교육관 511),, 박서현,,,0,42,42,0,50,,이론+실습,일반,,,,0
19,2,BRIX58322,교직,7029,학교폭력예방및학생의이해,,,2.0,2.0, 교직과,인문사회융합대학,교직과, 수1300-1500(인문사회관 403),, 강주희,,,0,30,30,0,30,,이론,일반,,,,0
20,3,BRIX61727,교직,7030,생활지도및상담,,,2.0,2.0, 교직과,인문사회융합대학,교직과, 수1500-1700(인문사회관 403),, 강주희,,,0,30,30,0,30,,이론,일반,,,,0
21,9,BKSA59707,소양,7031,1인미디어시대모바일촬영편집,,,2.0,2.0, 전체(GLOCAL),교양대학,교양대학, 화1200-1400(교양강의동 305),, 곽재우,,,0,35,35,0,35,,이론+실습,일반,,실기,,0
22,9,BKSA59707,소양,7032,1인미디어시대모바일촬영편집,,,2.0,2.0, 전체(GLOCAL),교양대학,교양대학, 화1400-1600(교양강의동 305),, 곽재우,,,0,21,21,0,35,,이론+실습,일반,,실기,,0
23,9,BKSA62944,심화,7033,4차산업혁명과법,,,2.0,2.0, 전체(GLOCAL),교양대학,교양대학, 화1600-1800(실시간온라인),, 노현숙,,,0,87,87,0,90,,실시간온라인,일반,,인간과사회,,0
24,9,BKSA64877,심화,7035,ESG·환경·식품·경제,,,2.0,2.0, 전체(GLOCAL),교양대학,교양대학, 수1300-1500(교양강의동 403),, 임성수,,,0,57,57,0,60,,이론,일반,,융복합,,0
25,1,BKSA53699,기초,7036,KUGEP1,,,3.0,3.0, 전체(GLOCAL),교양대학,교양대학, 월1000-1300(교양강의동 603),, 양윤정,,,0,39,39,0,40,,이론,일반,,외국어기초,,0
26,1,BKSA53699,기초,7037,KUGEP1,,,3.0,3.0, 전체(GLOCAL),교양대학,교양대학, 월1500-1800(교양강의동 603),, 양윤정,,,0,40,40,0,40,,이론,일반,,외국어기초,,0
27,1,BKSA53699,기초,7038,KUGEP1,,,3.0,3.0, 전체(GLOCAL),교양대학,교양대학, 화1500-1800(교양강의동 606),, 양윤정,,,0,35,35,0,40,,이론,일반,,외국어기초,,0
28,1,BKSA53699,기초,7039,KUGEP1,,,3.0,3.0, 전체(GLOCAL),교양대학,교양대학, 월1500-1800(교양강의동 502),, 박선화,,,0,35,35,0,40,,이론,일반,,외국어기초,,0
29,1,BKSA53699,기초,7040,KUGEP1,,,3.0,3.0, 전체(GLOCAL),교양대학,교양대학, 화1500-1800(교양강의동 603),, 박선화,,,0,40,40,0,40,,이론,일반,,외국어기초,,0
30,1,BKSA53699,기초,7041,KUGEP1,,,3.0,3.0, 전체(GLOCAL),교양대학,교양대학, 수1000-1300(교양강의동 603),, 박선화,,,0,40,40,0,40,,이론,일반,,외국어기초,,0
31,1,BKSA53699,기초,7042,KUGEP1,,,3.0,3.0, 전체(GLOCAL),교양대학,교양대학, 수1000-1300(교양강의동 401),, 윤소영,,,0,40,40,0,40,,이론,일반,,외국어기초,,0
32,1,BKSA53699,기초,7043,KUGEP1,,,3.0,3.0, 전체(GLOCAL),교양대학,교양대학, 수1500-1800(교양강의동 603),, 윤소영,,,0,39,39,0,40,,이론,일반,,외국어기초,,0
33,1,BKSA53699,기초,7044,KUGEP1,,,3.0,3.0, 전체(GLOCAL),교양대학,교양대학, 목1200-1500(교양강의동 603),, 윤소영,,,0,18,18,0,40,,이론,일반,,외국어기초,,0
34,1,BKSA53699,기초,7046,KUGEP1,,,3.0,3.0, 전체(GLOCAL),교양대학,교양대학, 화0900-1200(교양강의동 502),, 강석한,,,0,39,39,0,40,,이론,일반,,외국어기초,,0
